by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公by 周公记录时间：2011-08-22 17:46:29,674 线程ID:[33] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！
记录时间：2011-08-24 01:40:43,792 线程ID:[15] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....UpLoad to DB ... OK!
记录时间：2011-08-24 01:40:43,792 线程ID:[15] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....UpLoad to DB ... OK!
记录时间：2011-08-24 01:40:43,793 线程ID:[15] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....end
记录时间：2011-08-24 01:40:43,793 线程ID:[15] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....end
记录时间：2011-08-24 01:41:31,809 线程ID:[18] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....begin
记录时间：2011-08-24 01:41:31,809 线程ID:[18] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....begin
记录时间：2011-08-24 01:41:31,810 线程ID:[18] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....UpLoad to DB ...
记录时间：2011-08-24 01:41:31,810 线程ID:[18] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....UpLoad to DB ...
记录时间：2011-08-24 01:41:31,818 线程ID:[18] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....UpLoad to DB ... OK!
记录时间：2011-08-24 01:41:31,818 线程ID:[18] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....UpLoad to DB ... OK!
记录时间：2011-08-24 01:41:31,819 线程ID:[18] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....end
记录时间：2011-08-24 01:41:31,819 线程ID:[18] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....end
by 周公记录时间：2011-08-24 01:44:31,966 线程ID:[34] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....begin
记录时间：2011-08-24 01:44:31,966 线程ID:[34] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....begin
记录时间：2011-08-24 01:44:31,986 线程ID:[34] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....UpLoad to DB ...
记录时间：2011-08-24 01:44:31,986 线程ID:[34] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....UpLoad to DB ...
记录时间：2011-08-24 01:44:37,585 线程ID:[34] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....UpLoad to DB ... OK!
记录时间：2011-08-24 01:44:37,585 线程ID:[34] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....UpLoad to DB ... OK!
记录时间：2011-08-24 01:44:37,587 线程ID:[34] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....end
记录时间：2011-08-24 01:44:37,587 线程ID:[34] 日志级别：INFO  出错类：LogFileAppender property:[(null)] - 错误描述：这是服务器端的日志信息！TransferDBFile....end
